IP Address,Size,Date,File,Agent,ResultCode
192.0.0.1,10000,20151103,myFile.txt,Agent1,RES1
192.0.0.1,600,20151104,myFile.txt,Agent1,RES1
192.0.0.1,700,20151105,myFile.txt,Agent1,RES1
192.0.0.2,800,20151104,myFile.txt,Agent1,RES1
192.0.0.2,900,20151105,myFile.txt,Agent1,RES1
192.0.0.1,12200,20151103,myFile.txt,Agent1,RES1
959.300.214.728,61332,20070127,myFile.txt,Agent2,RES2
544.534.653.4,33163,20090226,myFile.txt,Agent3,RES3
681.640.4.334,21790,20090405,myFile.txt,Agent4,RES4
817.322.119.476,20218,20081015,myFile.txt,Agent5,RES5
431.228.285.913,48357,20130706,myFile.txt,Agent6,RES6
502.164.268.638,88416,20060802,myFile.txt,Agent7,RES7
819.645.383.829,65784,20140716,myFile.txt,Agent8,RES8
441.573.91.391,74434,20101113,myFile.txt,Agent9,RES9
295.458.470.402,72914,20140425,myFile.txt,Agent10,RES10
898.436.653.120,37765,20010421,myFile.txt,Agent11,RES11
802.560.721.499,69779,20020910,myFile.txt,Agent12,RES12
345.480.596.607,57895,20130819,myFile.txt,Agent13,RES13
733.28.712.698,87656,20030211,myFile.txt,Agent14,RES14
740.211.598.317,19866,20121207,myFile.txt,Agent15,RES15
683.572.355.927,90899,20140927,myFile.txt,Agent16,RES16
326.969.428.378,29756,20091004,myFile.txt,Agent17,RES17
500.944.90.526,77478,20151219,myFile.txt,Agent18,RES18
246.600.183.486,99749,20040510,myFile.txt,Agent19,RES19
762.440.496.510,79478,20010103,myFile.txt,Agent20,RES20
107.80.386.340,59421,20020108,myFile.txt,Agent21,RES21
574.121.403.745,47348,20141006,myFile.txt,Agent22,RES22
146.43.568.367,93486,20020202,myFile.txt,Agent23,RES23
356.243.513.916,45285,20110503,myFile.txt,Agent24,RES24
539.620.921.121,68800,20130910,myFile.txt,Agent25,RES25
3.481.445.254,32151,20151123,myFile.txt,Agent26,RES26
786.669.609.322,80057,20040214,myFile.txt,Agent27,RES27
839.522.723.902,19849,20140814,myFile.txt,Agent28,RES28
287.141.891.958,50427,20080206,myFile.txt,Agent29,RES29
932.415.694.180,98700,20120504,myFile.txt,Agent30,RES30
862.617.95.123,44471,20151121,myFile.txt,Agent31,RES31
85.704.271.501,28161,20110822,myFile.txt,Agent32,RES32
